name,CO10,error,FWHM,ref,CO21,error,FWHM,ref,CO32,error,FWHM,ref,CO43,error,CO54,error,CO65,error,CO76,error,CO87,error,CO98,error,CO109,error,CO1110,error,CO1211,error,CO1312,error,CI10,error,CI21,error,APEX CI10,error,13CO10,error,beam,ref,13CO21,error,beam,ref,13CO32,error,beam,ref
IRAS13120-5453,126,13,,Sliwa et al. 2017,644.33989290115,1.7659066899233,,2018.1.00503.S,1331.8815749643,305.103725994564,20.8,this work,1845.34900910818,362.359441788515,2431.98004125844,107.372187252028,2299.700630479,49.2153831425468,1986.68676433725,34.5177237047014,1708.30781490335,40.2744475026331,1184.49256097807,53.7049523869151,942.639769527198,42.969334223462,642.183212374052,36.626418956695,400.710653763749,33.5791050640013,272.809346174349,37.2012744783203,1389.21729238366,150.865226322207,1586.35663612008,34.4029150001945,,,,,,,,,,,,,,
IRAS13242-5713,nan,nan,,,nan,nan,,,4893.73165244174,52.1676339766927,,,8068.8353575027,479.662036724509,7470.03346329692,162.963432344971,6891.33834187737,70.0962577686191,5212.6164442708,56.3323102767017,4186.82142839742,85.4453352734169,3388.9603283989,78.880973161009,2556.0631065442,63.1126692973878,2197.27986544874,66.946502973411,1459.88535658209,43.8404010985614,973.412804707458,66.7829990755637,2819.09719759371,240.054128179377,4203.38484608675,56.1449445158515,,,,,,,,,,,,,,
MRK331,59.4,11.9,,6,577,88.9,,5,1490,229,,5,1530.89980149222,112.663621754839,1224.7931507296,47.7192136647897,1113.51915119003,22.0936339521832,810.592118564269,15.1512545526031,619.839025920194,19.8878831846051,500.93308557521,23.5733216741275,249.319048240997,21.2186424034891,202.568284674683,21.7037447865732,139.285969816652,15.4762188685169,112.263083766889,18.3703227982183,875.358562543839,68.2903843119307,894.725971025572,15.1008602704738,,,,,,,,,,,,,,
NGC6240,290,30,,,2190,440,,,4060,1220,,,4281.44459161472,180.060753852955,6013.0553045025,304.120809544492,6260.66286611388,115.608831334489,6338.71704516657,106.725241890958,6090.57921764178,116.741660798172,5079.35622158408,88.9554504655706,4275.73353021583,64.0559330369412,3074.60474032606,67.9470660845539,2445.03470804788,53.394752496041,1924.57297087418,55.4572787765239,1636.77384277517,106.20288292816,3601.39326519789,106.370265216815,,,,,,,,,,,,,,
NGC3628,1309.4,24.9,,,1343.1,17,,,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,
NGC3627,4480,895,,6,3600,719,,6,2170,656,,8,1600,200,2400,200,2000,100,1300,100,930,70,1400,200,1200,100,630,130,370,100,360,190,1400,100,1200,100,,,,,,,,,,,,,,
IRAS18293-3413,752,75.7,,9,1910,193,,9,2848.49508028795,319.284133365984,20.8,O-084.F-9306A-2009,3683.01209289496,218.596041484773,3465.94832894459,90.093458091832,2919.39040208704,35.3330154564241,2033.08930375623,30.2881088082864,1242.40200656832,43.0699362277019,812.893112676383,53.0147682180249,434.775457927243,39.7660479811502,233.806976152041,36.1557179616558,185.626371494086,30.9377285823477,nan,nan,2637.23826226814,142.721129487452,2422.53629328032,30.1873681405648,,,,,,,,,,,,,,
NGC7469,206,30.5,,3,2750,423,,5,1980,599,,8,2023.6443102602,125.651117303738,2227.46470869306,52.9089004440157,1649.09896508479,26.4561331297026,1201.97017186265,18.8989020733122,823.596749749021,29.7685572198441,646.891497924216,29.4041589965553,397.005782775203,23.8203469665122,283.956712003926,21.6577153223333,209.588956406024,19.8557958700444,167.019084020129,18.3313628802581,1239.01006462217,80.5356542004411,1488.04738249271,18.8360428163635,,,,,,,,,,,,,,
IRAS17578-0400,201,36,,7,399,63.1,,5,836,131,,5,nan,nan,1065.61025381487,205.736633162277,1371.66480772798,61.5490618852301,964.772289342022,56.5296263286341,877.233481046698,98.9361068849659,996.795261449415,58.6350153793773,490.836446385043,65.972640643151,nan,nan,nan,nan,nan,nan,nan,nan,683.611465249973,56.3416042788439,,,,,,,,,,,,,,
IC1623,398,79.6,,2,1700,259,,5,2950,457,,5,2967.01526078228,146.027596727539,2410.92717475509,53.1041227919623,1380.79502668846,26.5537505132396,1054.65610133477,18.9686349160929,833.275286543045,29.8783967286351,333.492989692284,26.5613885595624,175.32708505945,23.9082388717432,nan,nan,130.646056348855,17.7147195049295,149.236346527814,20.4433351407965,1249.79965129313,93.2686306935172,1183.48703700612,18.9055437221425,,,,,,,,,,,,,,
Arp220,400,22.1,,10,1730,348,,14,2910,878,,8,4080.99655668128,490.249586354569,3964.63395674405,227.913449385019,4231.68554929609,92.761374253881,3517.66960937114,71.9437272099588,3121.32465002602,102.718751752448,2265.20684144326,150.22828207231,2113.18080657459,111.359590810706,1123.38549108825,115.713526979047,758.074123314699,97.245660133664,nan,nan,1855.61890846897,304.098081989898,1769.96740944992,64.1566011954131,,,,,,,,,,,,,,
IRAS19254-7245,58.4,11.7,,6,nan,nan,,,nan,nan,,,nan,nan,nan,nan,nan,nan,370,50,220,70,300,80,180,50,230,nan,150,nan,100,41,nan,nan,290,50,,,,,,,,,,,,,,
