Title: L'_CO_/L_FIR_ Relations with CO Rotational Ladders of Galaxies 
       Across the Herschel SPIRE Archive 
Authors: Kamenetzky J., Rangwala N., Glenn J., Maloney P.R., Conley A. 
Table: Line Fluxes and Uncertainty Ranges from SPIRE FTS
================================================================================
Byte-by-byte Description of file: apjaa22eat2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1- 16 A16    ---       ID     Galaxy identifier
  18- 24 A7     ---       Line   Line identifier
  26- 26 A1     ---     f_Line   [X] Line is resolved? 
  28- 35 E8.2   Jy.km/s   Flux   Median line flux in Line
  37- 44 E8.2   Jy.km/s b_Flux   Lower 1{sigma} boundary for Flux
  46- 53 E8.2   Jy.km/s B_Flux   Upper 1{sigma} boundary for Flux
  55- 62 E8.2   Jy.km/s   UpLim  ? The 3{sigma} upper limit on the Line flux (1)
--------------------------------------------------------------------------------
Note (1): If blank the line is considered at least a 3{sigma} detection.
--------------------------------------------------------------------------------
Mrk 1014         CO7-6     8.10e+01 3.74e+01 1.35e+02 2.35e+02 
Mrk 1014         CO10-9    3.52e+01 7.71e+00 6.49e+01 1.02e+02 
Mrk 1014         CO11-10   2.40e+01 7.49e+00 5.65e+01 8.66e+01 
Mrk 1014         CO13-12   3.67e+01 1.26e+01 6.72e+01 1.17e+02 
Mrk 1014         NII       9.52e+01 6.27e+01 1.23e+02          
NGC0828          CI1-0     6.97e+02 4.40e+02 1.01e+03 1.53e+03 
NGC0828          CI2-1     6.21e+02 5.43e+02 7.01e+02          
NGC0828          CO4-3     9.28e+02 5.96e+02 1.26e+03 1.87e+03 
NGC0828          CO5-4     7.57e+02 5.33e+02 1.01e+03          
NGC0828          CO6-5     8.18e+02 6.84e+02 9.44e+02          
NGC0828          CO7-6     1.57e+02 7.37e+01 2.36e+02 3.51e+02 
NGC0828          CO8-7     1.72e+02 6.21e+01 2.98e+02 5.33e+02 
NGC0828          CO10-9    1.85e+02 6.54e+01 2.98e+02 4.98e+02 
NGC0828          CO11-10   9.70e+01 2.86e+01 1.95e+02 3.62e+02 
NGC0828          CO12-11   1.18e+02 3.67e+01 2.03e+02 3.76e+02 
NGC0828          NII     X 7.21e+03 7.05e+03 7.37e+03          
NGC0877a         CI1-0     3.59e+02 1.63e+02 5.83e+02 8.56e+02 
NGC0877a         CI2-1     3.89e+02 2.98e+02 4.77e+02          
NGC0877a         CO4-3     3.66e+02 1.63e+02 6.30e+02 8.94e+02 
NGC0877a         CO5-4     2.91e+02 1.19e+02 4.65e+02 8.08e+02 
NGC0877a         CO6-5     2.43e+02 1.45e+02 3.42e+02          
NGC0877a         CO7-6     2.15e+02 1.31e+02 3.11e+02          
NGC0877a         CO8-7     1.34e+02 3.94e+01 2.28e+02 3.97e+02 
NGC0877a         CO9-8     6.53e+02 3.27e+02 9.57e+02          
NGC0877a         CO10-9    1.51e+02 2.43e+01 4.03e+02 6.51e+02 
NGC0877a         CO11-10   4.55e+02 2.31e+02 6.89e+02 1.13e+03 
NGC0877a         CO13-12   5.35e+02 2.23e+02 8.04e+02 1.18e+03 
NGC0877a         NII       4.49e+03 4.24e+03 4.68e+03          
NGC891-1         CI1-0     2.19e+03 1.86e+03 2.54e+03          
NGC891-1         CI2-1     1.83e+03 1.68e+03 1.97e+03          
NGC891-1         CO4-3     2.25e+03 1.87e+03 2.61e+03          
