NGC1056         , CO9-8  ,  ,257,126,384,          
NGC1056         , CO10-9 ,  ,85.3,24.6,186,313
NGC1056         , CO11-10,  ,117,43.1,190,313
NGC1056         , CO12-11,  ,85.3,30.7,147,270
NGC1056         , CO13-12,  ,70,15.7,143,268
NGC1056         , NII    ,  ,1290,1200,1370,          
UGC02238        , CI1-0  ,  ,336,182,497,753
UGC02238        , CI2-1  ,  ,398,361,439,          
UGC02238        , CO5-4  ,  ,500,417,586,          
UGC02238        , CO6-5  ,  ,345,288,404,          
UGC02238        , CO7-6  ,  ,163,122,206,          
UGC02238        , CO8-7  ,  ,74.9,24,136,282
UGC02238        , CO9-8  ,  ,114,38.5,202,327
UGC02238        , CO10-9 ,  ,102,34.5,170,300
UGC02238        , CO11-10,  ,80.9,27.4,170,328
UGC02238        , NII    ,  ,2250,2160,2330,          
NGC1097         , CI1-0  ,  ,2480,2190,2840,          
NGC1097         , CI2-1  ,  ,2480,2380,2580,          
NGC1097         , CO4-3  ,  ,3550,3220,3910,          
NGC1097         , CO5-4  ,  ,3420,3180,3680,          
NGC1097         , CO6-5  ,  ,2700,2580,2810,          
NGC1097         , CO7-6  ,  ,1580,1490,1690,          
NGC1097         , CO8-7  ,  ,639,427,807,          
NGC1097         , CO9-8  ,  ,440,178,640,895
NGC1097         , CO10-9 ,  ,487,239,698,1140
NGC1097         , CO11-10,  ,410,210,671,1040
NGC1097         , CO12-11,  ,356,123,544,847
NGC1097         , CO13-12,  ,708,274,1130,1520
NGC1097         , NII    , X,18900,18400,19400,          
UGC02369        , CI1-0  ,  ,89.6,23.6,163,305
UGC02369        , CI2-1  ,  ,281,251,310,          
UGC02369        , CO5-4  ,  ,487,402,571,          
UGC02369        , CO6-5  ,  ,312,277,349,          
UGC02369        , CO7-6  ,  ,295,265,324,          
UGC02369        , CO8-7  ,  ,233,188,281,          
UGC02369        , CO9-8  ,  ,239,174,302,          
UGC02369        , CO10-9 ,  ,170,117,216,          
UGC02369        , CO12-11,  ,75.9,14,121,181
UGC02369        , CO13-12,  ,98.2,34.4,142,208
UGC02369        , NII    ,  ,863,809,907,          
NGC1222         , CI1-0  ,  ,237,134,336,          
NGC1222         , CI2-1  ,  ,219,193,247,          
NGC1222         , CO4-3  ,  ,261,140,377,          
NGC1222         , CO5-4  ,  ,385,310,462,          
NGC1222         , CO6-5  ,  ,310,277,349,          
NGC1222         , CO7-6  ,  ,243,216,269,          
NGC1222         , CO8-7  ,  ,184,147,224,          
NGC1222         , CO9-8  ,  ,102,42.7,170,259
NGC1222         , CO10-9 ,  ,68.9,19.5,110,195
NGC1222         , CO11-10,  ,72.7,35.9,115,204
NGC1222         , CO12-11,  ,44.6,13.3,88.3,173
NGC1222         , CO13-12,  ,99.2,43.8,154,243
NGC1222         , NII    ,  ,972,919,1020,          
UGC02608        , CI1-0  ,  ,326,105,499,760
UGC02608        , CI2-1  ,  ,375,325,421,          
UGC02608        , CO5-4  ,  ,180,47,309,531
UGC02608        , CO6-5  ,  ,340,270,406,          
UGC02608        , CO7-6  ,  ,126,81.8,182,          
UGC02608        , CO9-8  ,  ,210,88.6,330,468
UGC02608        , CO10-9 ,  ,126,39.4,206,321
UGC02608        , CO13-12,  ,78.4,27.3,142,226
UGC02608        , NII    ,  ,1190,1120,1270,          
NGC1266         , CI1-0  ,  ,677,478,862,          
NGC1266         , CI2-1  ,  ,818,769,876,          
NGC1266         , CO4-3  ,  ,1610,1360,1810,          
NGC1266         , CO5-4  ,  ,1430,1330,1520,          
NGC1266         , CO6-5  ,  ,1230,1180,1290,          
NGC1266         , CO7-6  ,  ,1130,1070,1180,          
NGC1266         , CO8-7  ,  ,880,822,928,          
NGC1266         , CO9-8  ,  ,1310,1240,1400,          
NGC1266         , CO10-9 ,  ,953,896,1030,          
NGC1266         , CO11-10,  ,946,873,1010,          
NGC1266         , CO12-11,  ,609,544,666,          
NGC1266         , CO13-12,  ,275,167,375,          
NGC1266         , NII    , X,1070,951,1200,          
IRAS 03158+4227 , CI2-1  ,  ,103,42.7,161,          
IRAS 03158+4227 , CO5-4  ,  ,160,39.7,320,499
IRAS 03158+4227 , CO6-5  ,  ,212,97.9,331,          
IRAS 03158+4227 , CO7-6  ,  ,227,170,292,          
IRAS 03158+4227 , CO8-7  ,  ,168,123,221,          
IRAS 03158+4227 , CO10-9 ,  ,121,55.1,211,330
IRAS 03158+4227 , CO11-10,  ,101,43,149,249
IRAS 03158+4227 , NII    ,  ,102,36.9,152,230
3C 84           , CI1-0  ,  ,173,58.4,280,508
3C 84           , CI2-1  ,  ,475,430,510,          
3C 84           , CO4-3  ,  ,303,94.3,441,759
3C 84           , CO5-4  ,  ,470,391,553,          
3C 84           , CO6-5  ,  ,369,326,418,          
3C 84           , CO7-6  ,  ,274,234,312,          
3C 84           , CO8-7  ,  ,301,251,346,          
3C 84           , CO9-8  ,  ,343,274,422,          
3C 84           , CO10-9 ,  ,355,299,412,          
3C 84           , CO11-10,  ,248,193,297,          
3C 84           , CO12-11,  ,219,170,260,          
3C 84           , CO13-12,  ,133,77.4,185,          
3C 84           , NII    ,  ,462,418,509,          
NGC1365-SW      , CI1-0  ,  ,3710,3430,3960,          
NGC1365-SW      , CI2-1  ,  ,4630,4490,4770,          
NGC1365-SW      , CO4-3  ,  ,7950,7630,8210,          
NGC1365-SW      , CO5-4  ,  ,7540,7350,7750,          
NGC1365-SW      , CO6-5  ,  ,5860,5730,5970,          
NGC1365-SW      , CO7-6  ,  ,3710,3560,3840,          
NGC1365-SW      , CO8-7  ,  ,3560,3220,3880,          
NGC1365-SW      , CO9-8  ,  ,1630,1270,1950,          
NGC1365-SW      , CO10-9 ,  ,977,740,1180,          
NGC1365-SW      , CO11-10,  ,513,250,731,1080
NGC1365-SW      , CO12-11,  ,364,147,573,955
NGC1365-SW      , NII    ,  ,20900,20400,21300,          
NGC1365-NE      , CI1-0  ,  ,4160,3850,4430,          
NGC1365-NE      , CI2-1  ,  ,4780,4670,4880,          
NGC1365-NE      , CO4-3  ,  ,9100,8690,9510,          
NGC1365-NE      , CO5-4  ,  ,8370,8140,8580,          
NGC1365-NE      , CO6-5  ,  ,6080,5970,6190,          
NGC1365-NE      , CO7-6  ,  ,3800,3680,3890,          
NGC1365-NE      , CO8-7  ,  ,2980,2730,3240,          
NGC1365-NE      , CO9-8  ,  ,1620,1360,1840,          
NGC1365-NE      , CO10-9 ,  ,634,467,801,1080
NGC1365-NE      , CO11-10,  ,680,558,835,          
NGC1365-NE      , CO12-11,  ,436,246,553,781
NGC1365-NE      , CO13-12,  ,197,34.6,497,946
NGC1365-NE      , NII    ,  ,16000,15700,16300,          
NGC1377         , CI1-0  ,  ,219,168,278,          
NGC1377         , CI2-1  ,  ,44.7,22.2,61.8,          
NGC1377         , CO4-3  ,  ,349,269,430,          
NGC1377         , CO5-4  ,  ,183,139,239,          
NGC1377         , CO6-5  ,  ,131,103,153,          
NGC1377         , CO7-6  ,  ,111,90.1,129,          
NGC1377         , CO8-7  ,  ,28.9,12,47,87.9
NGC1377         , CO9-8  ,  ,133,85,186,          
NGC1377         , CO10-9 ,  ,161,116,203,          
NGC1377         , CO11-10,  ,165,111,209,          
NGC1377         , CO12-11,  ,119,79.3,158,          
NGC1377         , CO13-12,  ,199,149,240,          
NGC1377         , NII    ,  ,148,99.7,187,          
NGC1482         , CI1-0  ,  ,1220,956,1450,          
NGC1482         , CI2-1  ,  ,1250,1180,1310,          
NGC1482         , CO4-3  ,  ,1740,1430,2050,          
NGC1482         , CO5-4  ,  ,2150,1990,2350,          
NGC1482         , CO6-5  ,  ,1800,1710,1920,          
NGC1482         , CO7-6  ,  ,868,805,935,          
NGC1482         , CO8-7  ,  ,388,263,502,          
NGC1482         , CO9-8  ,  ,400,254,540,          
NGC1482         , CO10-9 ,  ,546,429,673,          
NGC1482         , CO11-10,  ,509,359,667,          
NGC1482         , CO12-11,  ,150,51.8,265,424
NGC1482         , CO13-12,  ,589,319,868,          
NGC1482         , NII    ,  ,6920,6720,7150,          
IRAS 03521+0028 , CI2-1  ,  ,31,6.21,77.8,137
IRAS 03521+0028 , CO5-4  ,  ,150,39.8,262,463
IRAS 03521+0028 , CO6-5  ,  ,148,65.4,248,388
IRAS 03521+0028 , CO7-6  ,  ,88.7,46.2,154,228
IRAS 03521+0028 , CO8-7  ,  ,129,83.2,187,          
IRAS 03521+0028 , CO10-9 ,  ,98.6,68.7,123,          
IRAS 03521+0028 , CO11-10,  ,35.1,12.3,67.5,97.4
IRAS 03521+0028 , CO12-11,  ,21.6,7.69,43.3,68.8
IRAS 03521+0028 , CO13-12,  ,29.8,10.5,49.8,84.1
UGC02982        , CI1-0  ,  ,259,70.1,491,849
UGC02982        , CI2-1  ,  ,428,323,517,          
UGC02982        , CO5-4  ,  ,464,257,693,1030
UGC02982        , CO6-5  ,  ,376,262,476,          
UGC02982        , CO7-6  ,  ,208,102,297,439
UGC02982        , CO8-7  ,  ,97.2,22.9,186,435
