NGC3227         , a ,10 ,23, 30.58, +19, 51, 54.2,  9.7,   18, 12,  1, 1342209281, 1342197318  
NGC3256         ,   ,10 ,27, 51.27, -43, 54, 13.8, 11.3,   38, 13,  0, 1342201201, 1342200126  
IRAS 10378+1109 ,   ,10 ,40, 29.17, +10, 53, 18.3, 12.1,  631,  2,  8, 1342247118, 1342234867  
ESO264-G036     ,   ,10 ,43, 07.68, -46, 12, 44.9, 10.9,   89,  6,  4, 1342249044, 1342236204  
NGC3351         ,   ,10 ,43, 57.70, +11, 42, 14.0,  9.7,   13,  9,  4, 1342247117, 1342198885  
ESO264-G057     ,   ,10 ,59, 01.82, -43, 26, 25.9, 10.7,   72,  6,  5, 1342249043, 1342236203  
IRASF10565+2448 ,   ,10 ,59, 18.17, +24, 32, 34.4, 11.8,  192, 10,  2, 1342247096, 1342234869  
NGC3521         ,   ,11 ,05, 48.60, -00, 02, 09.0, 10.1,   12,  6,  3, 1342247743, 1342198568  
IRAS 11095-0238 ,   ,11 ,12, 03.38, -02, 54, 23.8, 12.0,  482,  4,  5, 1342247760, 1342234863  
NGC3627         ,   ,11 ,20, 15.00, +12, 59, 30.0, 10.2,   12, 13,  0, 1342247604, 1342198883  
NGC3665         ,   ,11 ,24, 43.67, +38, 45, 46.0,  9.7,   32,  2,  7, 1342247121, 1342222667  
Arp299-B        ,   ,11 ,28, 31.00, +58, 33, 41.0, 11.6,   49, 13,  0, 1342199249, 1342199345  
Arp299-C        ,   ,11 ,28, 31.00, +58, 33, 50.0, 11.6,   49, 13,  0, 1342199250, 1342199345  
Arp299-A        ,   ,11 ,28, 33.63, +58, 33, 47.0, 11.6,   49, 13,  0, 1342199248, 1342199345  
PG 1126-041     ,   ,11 ,29, 16.66, -04, 24, 07.6,     ,  266,  1,  9, 1342247119, 1342247271  
ESO 320-G030    ,   ,11 ,53, 11.72, -39, 07, 48.9, 11.0,   45, 12,  1, 1342210861, 1342200129  
NGC3982         , a ,11 ,56, 28.13, +55, 07, 30.9,  9.8,   21,  5,  5, 1342209277, 1342186862  
NGC4038         ,   ,12 ,01, 53.00, -18, 52, 01.0,     ,   23,  6,  5, 1342210860, 1342188686  
NGC4038overlap  ,   ,12 ,01, 54.90, -18, 52, 46.0,     ,   23,  8,  4, 1342210859, 1342188686  
NGC4051         , a ,12 ,03, 09.61, +44, 31, 52.8,  9.5,   14,  9,  4, 1342209276, 1342210502  
IRAS 12071-0444 ,   ,12 ,09, 45.12, -05, 01, 13.9, 12.1,  591,  2,  8, 1342248239, 1342234858  
NGC4151         , a ,12 ,10, 32.58, +39, 24, 20.6,     ,   18,  5,  7, 1342209852, 1342188588  
NGC4194         ,   ,12 ,14, 09.63, +54, 31, 36.1, 10.7,   39, 10,  3, 1342231069, 1342230869  
IRAS12116-5615  ,   ,12 ,14, 22.17, -56, 32, 32.8, 11.3,  115, 10,  2, 1342249462, 1342226974  
NGC4254         ,   ,12 ,18, 49.60, +14, 24, 59.0, 10.8,   36,  5,  4, 1342236997, 1342187173  
NGC4321         ,   ,12 ,22, 54.90, +15, 49, 21.0, 10.4,   25,  8,  4, 1342247572, 1342187322  
NGC4388         ,   ,12 ,25, 46.75, +12, 39, 43.5, 10.4,   38, 10,  3, 1342210849, 1342248482  
NGC4459         ,   ,12 ,29, 00.03, +13, 58, 42.8,  9.1,   19,  3,  7, 1342248411, 1342200118  
NGC4526         ,   ,12 ,34, 03.03, +07, 41, 56.9,  9.1,   10,  6,  6, 1342224762, 1342234889  
NGC4536         ,   ,12 ,34, 27.00, +02, 11, 17.0, 10.5,   27,  9,  4, 1342237025, 1342189455  
NGC4569         ,   ,12 ,36, 49.80, +13, 09, 46.0,  7.5,    1, 10,  3, 1342248251, 1342188777  
TOL1238-364     ,   ,12 ,40, 52.85, -36, 45, 21.1, 10.4,   46,  7,  6, 1342213381, 1342202200  
NGC4631         ,   ,12 ,42, 08.00, +32, 32, 29.0, 10.4,   12,  7,  3, 1342247573, 1342188756  
NGC4710         ,   ,12 ,49, 38.96, +15, 09, 55.8,  9.6,   18,  5,  8, 1342247120, 1342188766  
NGC4736         ,   ,12 ,50, 53.00, +41, 07, 14.0,  9.9,    8,  7,  4, 1342245851, 1342188754  
Mrk 231         ,   ,12 ,56, 14.23, +56, 52, 25.2, 12.2,  188, 11,  1, 1342210493, 1342201218  
NGC4826         ,   ,12 ,56, 43.70, +21, 40, 58.0,  9.7,    9,  8,  3, 1342246992, 1342188764  
MCG-02-33-098   ,   ,13 ,02, 19.80, -15, 46, 03.5, 10.7,   69,  4,  7, 1342247567, 1342234810  
ESO507-G070     ,   ,13 ,02, 52.34, -23, 55, 17.8, 11.2,   91, 11,  1, 1342248421, 1342234813  
NGC5010         ,   ,13 ,12, 26.39, -15, 47, 51.7, 10.6,   43,  6,  5, 1342236996, 1342234809  
IRAS13120-5453  ,   ,13 ,15, 06.35, -55, 09, 22.7, 12.0,  132, 12,  0, 1342212342, 1342226970  
NGC5055         ,   ,13 ,15, 49.30, +42, 01, 45.0, 10.1,   11,  5,  6, 1342237026, 1342188753  
Arp193          ,   ,13 ,20, 35.34, +34, 08, 22.2, 11.4,  105, 12,  0, 1342209853, 1342198191  
NGC5104         ,   ,13 ,21, 23.09, +00, 20, 33.3, 10.9,   82,  5,  6, 1342247566, 1342236168  
MCG-03-34-064   , a ,13 ,22, 24.42, -16, 43, 42.7,     ,   74,  8,  3, 1342249041, 1342236178  
Cen A           ,   ,13 ,25, 27.61, -43, 01, 08.8,  9.7,    4,  8,  5, 1342204037, 1342188663  
NGC5135         ,   ,13 ,25, 44.06, -29, 50, 01.2, 11.0,   58, 12,  0, 1342212344, 1342202248  
ESO 173-G015    ,   ,13 ,27, 23.78, -57, 29, 22.2, 11.2,   39, 13,  0, 1342202268, 1342203562  
NGC5194         ,   ,13 ,29, 52.71, +47, 11, 42.6, 10.4,   11,  7,  6, 1342201202, 1342188589  
IC4280          ,   ,13 ,32, 53.35, -24, 12, 25.4, 10.7,   70,  6,  4, 1342249042, 1342236191  
M83             ,   ,13 ,37, 00.92, -29, 51, 56.7, 10.4,    7, 10,  2, 1342212345, 1342188664  
Mrk 273         ,   ,13 ,44, 42.11, +55, 53, 12.7, 12.0,  168, 11,  1, 1342209850, 1342201217  
4C 12.50        , a ,13 ,47, 33.36, +12, 17, 24.2, 12.0,  561,  1,  9, 1342237024, 1342234792  
UGC08739        ,   ,13 ,49, 14.28, +35, 15, 19.8, 10.8,   76,  6,  6, 1342247123, 1342236144  
ESO221-IG010    ,   ,13 ,50, 56.87, -49, 03, 18.5, 10.5,   39,  5,  6, 1342249461, 1342238293  
